OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,URL
11,THREE RIVERS,301 LEROY STREET,THREE RIVERS,TX,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,302,LIVE OAK,28.45728,-98.18771,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,89000,71,89000,https://drive.google.com/uc?id=18NM1-XN2oCN0i6zmLKAcY1nsxT6fG_2J
12,HOUSTON,9701 MANCHESTER,HOUSTON,TX,LARGE COMPLEX REFINERY,IN SERVICE,340,HARRIS,29.72181,-95.2536,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,191000,36,191000,https://drive.google.com/uc?id=1IZa-Uno28T_YgNIIwqH5jPUh_wqR4Dss
13,SINCLAIR,100 E LINCOLN AVENUE (EAST LINCOLN HIGHWAY),SINCLAIR,WY,MEDIUM COMPLEX REFINERY,IN SERVICE,332,CARBON,41.78212,-107.10722,http://www.sinclairoil.com,SINCLAIR OIL CORP,SINCLAIR WYOMING REFINING CO,85000,76,85000,https://drive.google.com/uc?id=1Y5Ix-v9nt9zcN8bV4bMLZNt9V7KACxlF
14,TYLER,1702 E COMMERCE STREET,TYLER,TX,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,254,SMITH,32.36172,-95.2797,http://www.delekus.com,DELEK GROUP LTD,DELEK REFINING LTD,72000,86,72000,https://drive.google.com/uc?id=1XSGIoHnmm1q18Kh-fIA-QPn48SJr6_yb
15,MARTINEZ,3485 PACHECO BLVD,MARTINEZ,CA,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,774,CONTRA COSTA,38.01844,-122.11327,http://www.shell.us,ROYAL DUTCH/SHELL GROUP,SHELL OIL PRODUCTS US,156400,47,156400,https://drive.google.com/uc?id=1Sn3HlimgjXqeQC2dfUngSzhRBvZNfKh4
16,SUNRAY,6701 FM 119,SUNRAY,TX,MEDIUM COMPLEX REFINERY,IN SERVICE,435,MOORE,35.95528,-101.88038,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,195000,35,195000,https://drive.google.com/uc?id=10EInuOepaeGGvxMpsGOi4ADEojGWlRxS
17,PASADENA,111 RED BLUFF ROAD,PASADENA,TX,MEDIUM SIZED COMPLEX REFINERY WITH A HIGH GASOLINE YIELD,IN SERVICE,345,HARRIS,29.7231,-95.20804,http://www.petrobras.com,PETROBRAS AMERICA INC,PASADENA REFINING SYSTEMS INC,112229,61,112229,https://drive.google.com/uc?id=1FwVJm8S0BY_vZfcSvwGr4C3i7voWeJGm
18,LAKE CHARLES,1601 HWY 108 E,SULPHUR,LA,MODERN DEEP-CONVERSION FACILITY,IN SERVICE,1183,CALCASIEU,30.17866697,-93.33023518,http://citgorefining.com,PDV AMERICA INC,CITGO PETROLEUM CORP,425000,6,425000,https://drive.google.com/uc?id=1QixJBHR9UiyQEZfUVhCh7hFGhkxt49Bd
19,RODEO (SAN FRANCISCO),1380 SAN PABLO AVENUE,RODEO,CA,MEDIUM COMPLEX REFINERY,IN SERVICE,445,CONTRA COSTA,38.04457,-122.25522,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,120200,58,120200,https://drive.google.com/uc?id=1AdUV-_F-RywbRPkCckJ0fLxIqUGA86Js
20,TULSA WEST,1700 S UNION AVE,TULSA,OK,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,285,TULSA,36.1389,-96.02106,http://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER TULSA REFINING LLC,85000,75,85000,https://drive.google.com/uc?id=1kYAyn7jskWjFYrBgkcyJfbosFAPi8yMN
21,PARAMOUNT,14700 DOWNEY AVENUE,PARAMOUNT,CA,SMALL LOW COMPLEXITY REFINERY,IN SERVICE,155,LOS ANGELES,33.89872,-118.14659,http://www.ppcla.com,ALON ISRAEL OIL COMPANY LTD,PARAMOUNT PETROLEUM CORPORATION,84500,77,0,https://drive.google.com/uc?id=1u6PnW9BK1_Nddld4-db_BAHd-Gujo1T8
22,TULSA EAST,902 W 25TH STREET,TULSA,OK,LARGE COMPLEX REFINERY,IN SERVICE,409,TULSA,36.11992,-96.00072,https://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER TULSA REFINING LLC,70300,87,0,https://drive.google.com/uc?id=14exyojSyo0WDVDzHz44aKjSEMySURH6d
23,MOUNT VERNON,1200 REFINERY ROAD,MOUNT VERNON,IN,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,190,POSEY,37.94216,-87.91082,http://www.countrymark.com,COUNTRYMARK COOP INC,COUNTRYMARK COOPERATIVE INC,28200,110,28200,https://drive.google.com/uc?id=1lnJBsu6kj0WVO3xePClQ_itiHPR4KB7K
24,NEWELL,9995 OHIO RIVER BOULEVARD,NEWELL,WV,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,180,HANCOCK,40.61127,-80.62966,http://www.ergon.com/,ERGON INC,ERGON WEST VIRGINIA INC,22300,116,22300,https://drive.google.com/uc?id=1_hhUEK-lcUaC7b8Ufi7bjOnNTheMpAS_
25,WESTLAKE,2800 OLD SPANISH TRAIL,WESTLAKE,LA,MEDIUM LUBRICANTS REFINERY,IN SERVICE,98,CALCASIEU,30.24224,-93.28476,http://www.fhr.com,EXCEL PARALUBES,EXCEL PARALUBES,0,139,0,https://drive.google.com/uc?id=15pw7OoQVRQeCv3rYqBa_nXghNC3iFhj2
